house_type,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status,numBedroom,house_layout,house_size_in_sqft,price_approx_usd
Independent Floor ,Patel Nagar,Delhi,28.64595604,77.16685486,7000,INR,1.0,2.0,Not Negotiable,0.21,Posted 5 months ago,"A spacious 1 bhk builder floor is available for rental in Patel Nagar, Delhi. It has area of 398 sqft and is available at a rent of Rs. 7,000. The house is furnished. It is located on the 1st floor(out of a total of 3 floor(s)). It is west facing property. It has 1 bathroom and 2 balconies. Please contact for more details. "," 7,900",Furnished,1,BHK,398.0,81.62
Independent Floor ,Patel Nagar,Delhi,28.64595604,77.16685486,11000,INR,1.0,2.0,Not Negotiable,0.28,Posted 5 months ago,"Itâs a 1 bhk builder floor situated in Patel Nagar. It has a built-up area of 465 sqft and is available for rent at Rs. 11,000 per month . It is a furnished property. Furnishings include 1 wardrobe, 1 refrigerator, 1 ac and 1 bed. Itâs on 2nd floor out of 4 floors building. It has 1 bathroom and 2 balconies. It is made in way to provide a comfortable living for the residents. Please contact us for more details. "," 11,000",Furnished,1,BHK,465.0,128.26
Independent Floor ,Patel Nagar,Delhi,28.64595604,77.16685486,14000,INR,2.0,2.0,Not Negotiable,0.21,Posted 5 months ago,"Well designed 2 bhk builder floor is available at a prime location in Patel Nagar. It has an area of 788 sqft with a carpet area of 777 sqft . The property is available at a monthly rental of Rs. 14,000 . The house is semi-furnished. Itâs on 2nd floor out of 4 floors building. It is facing south direction. It has 2 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. "," 14,000",Semi-Furnished,2,BHK,788.0,163.25
Independent House ,Mayur Vihar II,Delhi,28.6170063,77.29906464,35000,INR,2.0,1.0,Negotiable,0.28,Posted 6 months ago,"Itâs a 3 bhk independent house situated in Mayur Vihar II, Delhi. It is a semi-furnished property. It is facing northeast direction. The property has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living for the residents. The site is in close proximity to various civic utilities. If you are interested, please contact us for more details. "," 70,000",Semi-Furnished,3,BHK,1450.0,408.12
Apartment ,mayur vihar phase 1,Delhi,28.60659218,77.29367828,40000,INR,2.0,1.0,Negotiable,0.32,Posted 6 months ago,"Itâs a 3 bhk multistorey apartment situated in mayur vihar phase 1, Delhi. It has area of 1450 sqft and is available at a rent of Rs. 40,000. It is a semi-furnished property. It is located on the 3rd floor(out of a total of 7 floor(s)). It is facing northeast direction. It has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. "," 80,000",Semi-Furnished,3,BHK,1450.0,466.42
Apartment ,Sheikh Sarai,Delhi,28.53419876,77.21559143,25000,INR,2.0,1.0,Not Negotiable,0.32,Posted a year ago,"Itâs a 2 bhk multistorey apartment situated in Partik Constructions Panchsheel Vihar, Sheikh Sarai. It has a built-up area of 900 sqft and is available for rent at Rs. 25,000 per month . It is a semi-furnished property. Itâs on 4th floor out of 4 floors building. It is north facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Please contact for more details. "," 25,000",Semi-Furnished,2,BHK,900.0,291.51
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,27000,INR,2.0,1.0,Not Negotiable,0.23,Posted a year ago,"A 3 bhk property is available for rent in IP Extension, Delhi. It has area of 1350 sqft and is available at a rent of Rs. 27,000. It is a semi-furnished property. Itâs on 2nd floor out of 4 floors building. The property has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. It is well connected to the city areas. If you are interested, please contact us for more details. "," 54,000",Semi-Furnished,3,BHK,1350.0,314.83
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,21000,INR,2.0,1.0,Not Negotiable,0.26,Posted a year ago,"A 2 bhk property is available for rent in IP Extension, Delhi. It has area of 950 sqft and is available at a rent of Rs. 21,000. It is a semi-furnished property. Itâs on 4th floor out of 4 floors building. Its main door is facing east direction. The property has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Kindly call us for details. "," 42,000",Semi-Furnished,2,BHK,950.0,244.87
Apartment ,IP Extension,Delhi,28.62801552,77.30574036,14000,INR,1.0,1.0,Not Negotiable,0.23,Posted a year ago,"A 1 bhk property is available for rental in Swaraj Homes Prashant Apartments, IP Extension, Delhi. It has area of 700 sqft and is available at a rent of Rs. 14,000. The house is semi-furnished. It is on 1st floor. The building has a total of 4 floor(s). Its main door is facing east direction. The property has 1 bathroom and 1 balcony. The site is in close proximity to various civic utilities. Please contact us for more details. "," 28,000",Semi-Furnished,1,BHK,700.0,163.25
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,25000,INR,2.0,1.0,Not Negotiable,0.22,Posted a year ago,It is located on the 1st floor(out of a total of 4 floor(s)). It is east facing property. It has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Please contact for more details. ," 50,000",Semi-Furnished,3,BHK,1300.0,291.51
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,22000,INR,2.0,1.0,Not Negotiable,0.27,Posted a year ago,"The house is semi-furnished. It is on 1st floor. The building has a total of 4 floor(s). Its main door is facing east direction. It has 2 bathrooms and 1 balcony. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The site is in close proximity to various civic utilities. "," 44,000",Semi-Furnished,2,BHK,950.0,256.53
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,18000,INR,1.0,1.0,Not Negotiable,0.23,Posted a year ago,"It has an area of 900 sqft with a carpet area of 850 sqft . The property is available at a monthly rental of Rs. 18,000 . The house is semi-furnished. Itâs on 3rd floor out of 3 floors building. It is east facing property. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living for the residents. It is situated in the proximity of all the important facilities. Please contact us for more details. "," 36,000",Semi-Furnished,2,BHK,900.0,209.89
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,14000,INR,2.0,1.0,Not Negotiable,0.22,Posted a year ago,"It has a built-up area of 750 sqft and is available for rent at Rs. 14,000 per month . Its main door is facing east direction. It has 2 bathrooms and 1 balcony. It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Kindly call us for details. "," 28,000",Semi-Furnished,1,BHK,750.0,163.25
Apartment ,IP Extension,Delhi,28.62976646,77.30672455,15500,INR,1.0,1.0,Not Negotiable,0.24,Posted a year ago,This spacious 1 bhk multistorey apartment is available for rental and is located in the heart of IP Extension. It is a semi-furnished property. It is on 2nd floor. The building has a total of 4 floor(s). It is east facing property. It has 1 bathroom and 1 balcony. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ," 31,000",Semi-Furnished,1,BHK,750.0,180.74
Apartment ,Patparganj,Delhi,28.62023735,77.29225922,18000,INR,2.0,1.0,Not Negotiable,0.28,Posted a year ago,1 BHK flat second for brothers Apartment fully furnished flat IP extension Patparganj nearby Ajanta market and IP extension Metro station Max hospital and balco market gold society flooring chain model kitchen," 36,000",Furnished,1,BHK,750.0,209.89
Independent Floor ,Green Park,Delhi,28.55761909,77.20458984,235592,INR,4.0,2.0,Not Negotiable,0.4,Posted a year ago,Its dour bhk builder floor in the super location of delhi south green oark it is the super location road bank atm school ollage all r on walking destance," 7,54,225",Unfurnished,5,BHK,6952.0,2747.11
